yolo_id,name,train_count,test_count,total_count
1504,1642,4671,0,4671
72,0072,4269,7,4276
1507,1645,3931,168,4099
427,0524,3836,0,3836
1518,1656,3397,0,3397
847,0949,1,2963,2964
300,0309,1179,1701,2880
2100,2430,2360,423,2783
39,0039,2307,17,2324
443,0541,2209,109,2318
2,0002,1947,345,2292
423,0520,2119,42,2161
585,0684,2103,7,2110
666,0765,1961,0,1961
79,0079,1770,1,1771
301,0310,1727,27,1754
3805,4230,1680,0,1680
4525,WL,1610,0,1610
657,0756,1579,0,1579
1522,1660,1524,0,1524
3810,4235,1461,5,1466
1496,1634,1,1463,1464
1497,1635,1,1438,1439
1208,1341,1,1349,1350
219,0223,1204,0,1204
1517,1655,1151,46,1197
431,0528,1107,67,1174
4138,4593,1076,3,1079
831,0933,1044,0,1044
832,0934,1038,0,1038
4446,B,1032,0,1032
298,0307,971,0,971
3304,3680,923,31,954
525,0624,932,1,933
4483,LL,895,0,895
465,0563,822,64,886
1525,1663,854,0,854
1516,1654,848,0,848
296,0305,813,0,813
931,1034,802,11,813
297,0306,761,0,761
1491,1629,748,1,749
224,0228,735,0,735
4493,MR,710,0,710
621,0720,707,2,709
4447,BP,707,0,707
114,0115,694,0,694
4513,SB,675,0,675
1510,1648,670,0,670
833,0935,668,0,668
115,0116,649,15,664
596,0695,655,0,655
4523,VL,652,0,652
457,0555,647,0,647
3180,3548,647,0,647
40,0040,639,4,643
90,0090,502,129,631
1241,1375,0,631,631
4438,A,613,13,626
603,0702,610,9,619
1519,1657,601,0,601
1513,1651,599,0,599
4453,CL,597,0,597
4472,GS,594,0,594
656,0755,566,2,568
1075,1206,548,10,558
2098,2428,553,3,556
3809,4234,552,2,554
299,0308,552,0,552
4225,4680,550,0,550
321,0330,547,0,547
1932,2256,523,24,547
4479,L,412,129,541
473,0572,539,0,539
809,0911,537,0,537
1514,1652,535,0,535
634,0733,528,0,528
2755,3115,518,0,518
4176,4631,518,0,518
1326,1461,370,144,514
4444,APC,493,0,493
1237,1371,0,484,484
309,0318,462,0,462
4485,LS,455,0,455
1101,1233,449,1,450
4050,4506,446,0,446
1506,1644,444,0,444
4332,4787,436,0,436
3149,3517,434,0,434
4489,MA,434,0,434
1978,2303,0,432,432
38,0038,420,6,426
836,0938,426,0,426
1944,2268,415,0,415
4046,4502,398,0,398
4440,AC,397,0,397
4456,CYP,396,0,396
188,0192,392,0,392
1006,1112,390,0,390
3684,4109,389,0,389
276,0282,151,237,388
55,0055,387,0,387
994,1100,373,13,386
130,0131,381,0,381
1501,1639,377,0,377
4068,4524,374,0,374
1515,1653,367,0,367
3134,3502,363,0,363
3770,4195,363,0,363
417,0514,358,0,358
433,0530,341,1,342
810,0912,110,229,339
1095,1227,337,0,337
4540,v,337,0,337
295,0304,316,20,336
490,0589,333,0,333
856,0958,1,321,322
1017,1125,320,0,320
4511,S,226,93,319
320,0329,314,0,314
4534,null-1,309,0,309
1014,1120,302,0,302
4439,AB,285,0,285
1508,1646,281,0,281
4520,T,70,207,277
25,0025,276,0,276
4150,4605,271,4,275
4464,EG,275,0,275
4516,SG,275,0,275
4462,EC,274,0,274
4505,R,198,76,274
1521,1659,272,0,272
1143,1275,65,204,269
1180,1312,267,0,267
1499,1637,267,0,267
4133,4588,265,0,265
434,0531,243,18,261
73,0073,256,0,256
1094,1226,252,0,252
1087,1219,240,0,240
622,0721,236,0,236
4110,4566,219,16,235
4528,WWG,234,0,234
4434,5343,233,0,233
4455,CS,232,0,232
1240,1374,0,228,228
197,0201,227,0,227
4445,AS,227,0,227
428,0525,226,0,226
839,0941,226,0,226
1088,1220,226,0,226
4281,4736,225,0,225
498,0597,224,0,224
1011,1117,222,1,223
1176,1308,222,0,222
303,0312,116,104,220
1400,1536,220,0,220
835,0937,219,0,219
1137,1269,217,0,217
1754,2076,210,7,217
4130,4585,206,8,214
442,0540,213,0,213
52,0052,211,0,211
127,0128,211,0,211
3819,4244,211,0,211
1708,2029,210,0,210
1243,1377,0,208,208
195,0199,207,0,207
1181,1313,207,0,207
4478,K,205,0,205
3804,4229,204,0,204
4524,W,85,117,202
670,0769,201,0,201
426,0523,176,24,200
1331,1466,198,0,198
1503,1641,196,0,196
1670,1910,195,0,195
432,0529,194,0,194
1699,2019,188,6,194
424,0521,193,0,193
4036,4491,189,0,189
116,0117,188,0,188
4091,4547,188,0,188
4502,PW,188,0,188
110,0110,187,0,187
4173,4628,187,0,187
478,0577,186,0,186
3951,4405,184,0,184
318,0327,182,0,182
553,0652,170,12,182
199,0203,180,0,180
304,0313,180,0,180
50,0050,179,0,179
218,0222,178,0,178
1733,2055,0,178,178
1834,2156,178,0,178
3441,3817,178,0,178
430,0527,177,0,177
1140,1272,176,0,176
1199,1331,175,0,175
4449,C,173,1,174
393,0406,173,0,173
397,0410,173,0,173
3138,3506,152,21,173
338,0350,172,0,172
4441,AE,172,0,172
322,0331,171,0,171
501,0600,165,6,171
717,0817,171,0,171
724,0824,171,0,171
1103,1235,171,0,171
1981,2306,0,171,171
1157,1289,170,0,170
1019,1127,169,0,169
1236,1369,0,169,169
1136,1268,154,13,167
2113,2443,111,56,167
411,0508,165,1,166
4168,4623,166,0,166
4459,DB,166,0,166
4482,LB,166,0,166
1330,1465,0,165,165
1926,2249,165,0,165
660,0759,164,0,164
1239,1373,0,164,164
29,0029,163,0,163
367,0379,0,163,163
1312,1447,163,0,163
1338,1473,0,163,163
1980,2305,0,163,163
3821,4246,163,0,163
1104,1236,162,0,162
4463,EF,162,0,162
119,0120,161,0,161
147,0150,161,0,161
4498,PA,161,0,161
494,0593,109,50,159
671,0770,159,0,159
837,0939,159,0,159
1238,1372,0,159,159
547,0646,158,0,158
1702,2022,158,0,158
1102,1234,157,0,157
482,0581,156,0,156
462,0560,155,0,155
1523,1661,153,1,154
117,0118,153,0,153
614,0713,153,0,153
654,0753,150,2,152
1158,1290,151,0,151
395,0408,150,0,150
3211,3580,150,0,150
623,0722,149,0,149
756,0858,149,0,149
105,0105,148,0,148
370,0382,0,148,148
1124,1256,147,0,147
3830,4256,147,0,147
470,0569,120,26,146
1177,1309,0,146,146
2931,3298,146,0,146
679,0779,145,0,145
3074,3441,145,0,145
4435,5344,145,0,145
581,0680,143,0,143
725,0825,108,35,143
1421,1557,143,0,143
2827,3190,142,0,142
421,0518,89,52,141
638,0737,139,0,139
1505,1643,34,105,139
4507,RB,139,0,139
1979,2304,0,138,138
2099,2429,138,0,138
4,0004,136,0,136
1142,1274,119,17,136
1070,1201,134,0,134
1740,2062,0,132,132
3965,4419,132,0,132
4208,4663,132,0,132
4460,DO,132,0,132
311,0320,131,0,131
4488,M,77,54,131
523,0622,130,0,130
1139,1271,130,0,130
4443,AM,130,0,130
850,0952,129,0,129
1853,2175,129,0,129
408,0505,86,42,128
1850,2172,128,0,128
316,0325,127,0,127
401,0414,127,0,127
1255,1389,0,127,127
1562,1700,124,0,124
3801,4226,124,0,124
834,0936,123,0,123
1225,1358,123,0,123
404,0501,122,0,122
4494,MS,122,0,122
537,0636,121,0,121
1138,1270,121,0,121
241,0245,120,0,120
484,0583,118,2,120
1234,1367,0,120,120
48,0048,119,0,119
3857,4283,119,0,119
4442,AH,118,0,118
4131,4586,117,0,117
1852,2174,116,0,116
76,0076,115,0,115
1498,1636,1,114,115
323,0332,111,3,114
686,0786,114,0,114
328,0337,113,0,113
607,0706,113,0,113
1144,1276,85,28,113
4263,4718,112,0,112
696,0796,110,1,111
1141,1273,111,0,111
4064,4520,111,0,111
51,0051,110,0,110
659,0758,110,0,110
22,0022,109,0,109
412,0509,108,0,108
1175,1307,107,1,108
3137,3505,108,0,108
102,0102,107,0,107
226,0230,107,0,107
680,0780,107,0,107
1278,1412,107,0,107
1983,2308,0,107,107
407,0504,82,24,106
169,0173,105,0,105
54,0054,104,0,104
416,0513,104,0,104
601,0700,104,0,104
726,0826,104,0,104
1195,1327,104,0,104
1857,2179,103,0,103
3130,3498,103,0,103
681,0781,102,0,102
772,0874,102,0,102
817,0919,102,0,102
1007,1113,101,1,102
1287,1421,102,0,102
1500,1638,102,0,102
4497,P,102,0,102
1286,1420,101,0,101
1745,2067,0,101,101
1397,1533,99,0,99
1368,1504,67,31,98
2776,3136,98,0,98
31,0031,97,0,97
4506,R2,97,0,97
429,0526,96,0,96
842,0944,96,0,96
1483,1621,96,0,96
1918,2241,96,0,96
2872,3238,91,5,96
1089,1221,94,0,94
1676,1916,94,0,94
637,0736,93,0,93
1739,2061,0,93,93
